# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates,,,Node States,Cluster N,HH Amount,,,# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates
155,20,1,4,,,,,,,,,,,,,
183,16,1,4,,,,,,,,,,,,,
183,16,3,4,,,,,,,,,,,,,
183,16,1,4,,,,,,,,,,,,,
194,16,1,4,,,,,,,,,,,,,
194,16,3,4,,,,,,,,,,,,,
194,16,1,4,,,,,,,,,,,,,
199,16,1,4,,,,,,,,,,,,,
199,16,3,4,,,,,,,,,,,,,
199,16,1,4,,,,,,,,,,,,,
275,20,0,4,,,,,,,,,,,,,
275,20,1,4,,,,,,,,,,,,,
318,20,0,4,,,,,,,,,,,,,
318,20,1,4,,,,,,,,,,,,,
353,20,0,4,,,,,,,,,,,,,
353,20,1,4,,,,,,,,,,,,,
374,52,3,4,,,,,,,,,,,,,
374,52,1,4,,,,,,,,,,,,,
374,52,4,4,,,,,,,,,,,,,
386,6,0,4,,,,,,,,,,,,,
418,21,2,4,,,,,,,,,,,,,
442,21,0,4,,,,,,,,,,,,,
454,21,0,4,,,,,,,,,,,,,
490,21,2,4,,,,,,,,,,,,,
0,20,0,4,,,,,,,,,,,,,
0,20,1,4,,,,,,,,,,,,,
2,20,0,4,,,,,,,,,,,,,
2,20,1,4,,,,,,,,,,,,,
99,21,2,0,,,,,,,,,,,,,
112,5,0,0,,,,,,,,,,,,,
191,16,1,0,,,,,,,,,,,,,
191,16,3,0,,,,,,,,,,,,,
191,16,1,0,,,,,,,,,,,,,
1,20,0,0,,,,,,,,,,,,,
1,20,1,0,,,,,,,,,,,,,
5,20,0,0,,,,,,,,,,,,,
5,20,1,0,,,,,,,,,,,,,
7,20,0,0,,,,,,,,,,,,,
7,20,1,0,,,,,,,,,,,,,
9,20,0,0,,,,,,,,,,,,,
9,20,1,0,,,,,,,,,,,,,
10,20,0,0,,,,,,,,,,,,,
10,20,1,0,,,,,,,,,,,,,
12,20,0,0,,,,,,,,,,,,,
12,20,1,0,,,,,,,,,,,,,
14,20,0,0,,,,,,,,,,,,,
14,20,1,0,,,,,,,,,,,,,
15,20,0,0,,,,,,,,,,,,,
15,20,1,0,,,,,,,,,,,,,
18,20,0,0,,,,,,,,,,,,,
18,20,1,0,,,,,,,,,,,,,
19,20,0,0,,,,,,,,,,,,,
19,20,1,0,,,,,,,,,,,,,
20,21,1,0,,,,,,,,,,,,,
21,21,1,0,,,,,,,,,,,,,
22,21,1,0,,,,,,,,,,,,,
23,21,1,0,,,,,,,,,,,,,
24,21,1,0,,,,,,,,,,,,,
25,21,1,0,,,,,,,,,,,,,
26,21,1,0,,,,,,,,,,,,,
27,21,1,0,,,,,,,,,,,,,
28,21,1,0,,,,,,,,,,,,,
29,21,1,0,,,,,,,,,,,,,
30,21,1,0,,,,,,,,,,,,,
31,21,1,0,,,,,,,,,,,,,
32,21,1,0,,,,,,,,,,,,,
33,21,1,0,,,,,,,,,,,,,
34,21,1,0,,,,,,,,,,,,,
35,21,1,0,,,,,,,,,,,,,
36,21,1,0,,,,,,,,,,,,,
37,21,1,0,,,,,,,,,,,,,
38,21,1,0,,,,,,,,,,,,,
39,21,1,0,,,,,,,,,,,,,
40,5,0,0,,,,,,,,,,,,,
41,5,0,0,,,,,,,,,,,,,
42,5,0,0,,,,,,,,,,,,,
44,5,0,0,,,,,,,,,,,,,
45,5,0,0,,,,,,,,,,,,,
46,5,0,0,,,,,,,,,,,,,
48,5,0,0,,,,,,,,,,,,,
49,5,0,0,,,,,,,,,,,,,
55,5,0,0,,,,,,,,,,,,,
57,5,0,0,,,,,,,,,,,,,
58,5,0,0,,,,,,,,,,,,,
60,21,2,0,,,,,,,,,,,,,
62,21,2,0,,,,,,,,,,,,,
63,21,2,0,,,,,,,,,,,,,
71,21,2,0,,,,,,,,,,,,,
74,21,2,0,,,,,,,,,,,,,
76,21,2,0,,,,,,,,,,,,,
78,21,2,0,,,,,,,,,,,,,
80,21,2,0,,,,,,,,,,,,,
82,21,2,0,,,,,,,,,,,,,
83,21,2,0,,,,,,,,,,,,,
84,21,2,0,,,,,,,,,,,,,
85,21,2,0,,,,,,,,,,,,,
86,21,2,0,,,,,,,,,,,,,
88,21,2,0,,,,,,,,,,,,,
91,21,2,0,,,,,,,,,,,,,
95,21,2,0,,,,,,,,,,,,,
96,21,2,0,,,,,,,,,,,,,
100,5,0,0,,,,,,,,,,,,,
101,5,0,0,,,,,,,,,,,,,
102,5,0,0,,,,,,,,,,,,,
103,5,0,0,,,,,,,,,,,,,
104,5,0,0,,,,,,,,,,,,,
106,5,0,0,,,,,,,,,,,,,
107,5,0,0,,,,,,,,,,,,,
108,5,0,0,,,,,,,,,,,,,
109,5,0,0,,,,,,,,,,,,,
110,5,0,0,,,,,,,,,,,,,
111,5,0,0,,,,,,,,,,,,,
114,5,0,0,,,,,,,,,,,,,
117,5,0,0,,,,,,,,,,,,,
119,5,0,0,,,,,,,,,,,,,
140,20,0,0,,,,,,,,,,,,,
140,20,1,0,,,,,,,,,,,,,
143,20,0,0,,,,,,,,,,,,,
143,20,1,0,,,,,,,,,,,,,
144,20,0,0,,,,,,,,,,,,,
144,20,1,0,,,,,,,,,,,,,
146,20,0,0,,,,,,,,,,,,,
146,20,1,0,,,,,,,,,,,,,
147,20,0,0,,,,,,,,,,,,,
147,20,1,0,,,,,,,,,,,,,
149,20,0,0,,,,,,,,,,,,,
149,20,1,0,,,,,,,,,,,,,
150,20,0,0,,,,,,,,,,,,,
150,20,1,0,,,,,,,,,,,,,
152,20,0,0,,,,,,,,,,,,,
152,20,1,0,,,,,,,,,,,,,
153,20,0,0,,,,,,,,,,,,,
153,20,1,0,,,,,,,,,,,,,
154,20,0,0,,,,,,,,,,,,,
154,20,1,0,,,,,,,,,,,,,
156,20,0,0,,,,,,,,,,,,,
156,20,1,0,,,,,,,,,,,,,
158,20,0,0,,,,,,,,,,,,,
158,20,1,0,,,,,,,,,,,,,
159,20,0,0,,,,,,,,,,,,,
159,20,1,0,,,,,,,,,,,,,
160,53,2,0,,,,,,,,,,,,,
160,53,3,0,,,,,,,,,,,,,
161,53,2,0,,,,,,,,,,,,,
161,53,3,0,,,,,,,,,,,,,
162,53,2,0,,,,,,,,,,,,,
162,53,3,0,,,,,,,,,,,,,
164,53,2,0,,,,,,,,,,,,,
164,53,3,0,,,,,,,,,,,,,
165,53,2,0,,,,,,,,,,,,,
165,53,3,0,,,,,,,,,,,,,
166,53,2,0,,,,,,,,,,,,,
166,53,3,0,,,,,,,,,,,,,
167,53,2,0,,,,,,,,,,,,,
167,53,3,0,,,,,,,,,,,,,
168,53,2,0,,,,,,,,,,,,,
168,53,3,0,,,,,,,,,,,,,
169,53,2,0,,,,,,,,,,,,,
169,53,3,0,,,,,,,,,,,,,
170,53,2,0,,,,,,,,,,,,,
170,53,3,0,,,,,,,,,,,,,
171,53,2,0,,,,,,,,,,,,,
171,53,3,0,,,,,,,,,,,,,
172,53,2,0,,,,,,,,,,,,,
172,53,3,0,,,,,,,,,,,,,
173,53,2,0,,,,,,,,,,,,,
173,53,3,0,,,,,,,,,,,,,
174,53,2,0,,,,,,,,,,,,,
174,53,3,0,,,,,,,,,,,,,
175,53,2,0,,,,,,,,,,,,,
175,53,3,0,,,,,,,,,,,,,
176,53,2,0,,,,,,,,,,,,,
176,53,3,0,,,,,,,,,,,,,
178,53,2,0,,,,,,,,,,,,,
178,53,3,0,,,,,,,,,,,,,
179,53,2,0,,,,,,,,,,,,,
179,53,3,0,,,,,,,,,,,,,
220,5,0,0,,,,,,,,,,,,,
221,5,0,0,,,,,,,,,,,,,
224,5,0,0,,,,,,,,,,,,,
225,5,0,0,,,,,,,,,,,,,
226,5,0,0,,,,,,,,,,,,,
227,5,0,0,,,,,,,,,,,,,
228,5,0,0,,,,,,,,,,,,,
229,5,0,0,,,,,,,,,,,,,
232,5,0,0,,,,,,,,,,,,,
236,5,0,0,,,,,,,,,,,,,
238,5,0,0,,,,,,,,,,,,,
239,5,0,0,,,,,,,,,,,,,
240,5,1,0,,,,,,,,,,,,,
241,5,1,0,,,,,,,,,,,,,
242,5,1,0,,,,,,,,,,,,,
243,5,1,0,,,,,,,,,,,,,
244,5,1,0,,,,,,,,,,,,,
